date,location,parameter,predicted_value
2025-08-16 10:22:24.105836,Parque O'Higgins,no2,48.02959999999998
2025-08-17 10:22:24.105836,Parque O'Higgins,no2,16.726900000000015
2025-08-18 10:22:24.105836,Parque O'Higgins,no2,23.77669999999997
2025-08-19 10:22:24.105836,Parque O'Higgins,no2,22.578699999999944
2025-08-20 10:22:24.105836,Parque O'Higgins,no2,49.492700000000006
2025-08-21 10:22:24.105836,Parque O'Higgins,no2,78.0010000000001
2025-08-22 10:22:24.105836,Parque O'Higgins,no2,43.62029999999995
